GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP
-3.031179428100586,-6.182483196258545,-2.728407382965088,2023-10-20T11:49:19.794218Z,1697802559794
-2.8191325664520264,-6.693843364715576,-2.8928301334381104,2023-10-20T11:49:19.804888Z,1697802559804
-2.409938097000122,-6.848023414611816,-2.989940643310547,2023-10-20T11:49:19.813746Z,1697802559813
-1.846829891204834,-6.676150798797607,-3.006303310394287,2023-10-20T11:49:19.822690Z,1697802559822
-1.1802257299423218,-6.138584136962891,-2.7721736431121826,2023-10-20T11:49:19.834177Z,1697802559834
-0.45229572057724,-5.440851211547852,-2.3440890312194824,2023-10-20T11:49:19.843324Z,1697802559843
0.3164739608764648,-4.984165668487549,-1.945669770240784,2023-10-20T11:49:19.855223Z,1697802559855
1.117835521697998,-4.207281589508057,-1.6180213689804075,2023-10-20T11:49:19.864335Z,1697802559864
1.9440734386444087,-3.503030300140381,-1.3536944389343262,2023-10-20T11:49:19.875288Z,1697802559875
2.777361869812012,-2.906665086746216,-1.0312342643737793,2023-10-20T11:49:19.883934Z,1697802559883
3.5953519344329834,-2.416190385818481,-0.6493104100227356,2023-10-20T11:49:19.894874Z,1697802559894
4.351749897003174,-2.006596565246582,-0.203400045633316,2023-10-20T11:49:19.905041Z,1697802559904
4.972193241119385,-1.6414343118667605,0.318868488073349,2023-10-20T11:49:19.915129Z,1697802559915
5.118524074554443,-1.2571160793304443,0.9246786832809448,2023-10-20T11:49:19.924051Z,1697802559924
5.274832248687744,-0.8104075193405151,1.5942094326019287,2023-10-20T11:49:19.938886Z,1697802559938
5.220423698425293,-0.303437203168869,2.269061088562012,2023-10-20T11:49:19.944533Z,1697802559944
5.173863887786865,0.1874366700649261,2.9284818172454834,2023-10-20T11:49:19.955366Z,1697802559955
4.560604095458984,0.562309980392456,3.454874038696289,2023-10-20T11:49:19.965259Z,1697802559965
3.695389032363892,0.7438934445381165,3.850100755691528,2023-10-20T11:49:19.976222Z,1697802559976
2.667879581451416,0.6788426637649536,4.126400470733643,2023-10-20T11:49:19.988151Z,1697802559988
1.5915488004684448,0.3487998247146606,4.307451725006104,2023-10-20T11:49:19.995983Z,1697802559995
0.5810669660568237,-0.1855742782354354,4.4207916259765625,2023-10-20T11:49:20.005508Z,1697802560005
-0.2768315970897674,-0.8056184649467468,4.501539707183838,2023-10-20T11:49:20.016404Z,1697802560016
-0.9386466145515442,-1.386020302772522,4.593728065490723,2023-10-20T11:49:20.025464Z,1697802560025
-1.3993231058120728,-1.8472288846969604,4.73699951171875,2023-10-20T11:49:20.039130Z,1697802560039
-1.6973061561584473,-2.167161703109741,4.95210599899292,2023-10-20T11:49:20.046301Z,1697802560046
-1.8819493055343628,-2.3281257152557373,4.99321174621582,2023-10-20T11:49:20.057534Z,1697802560057
-2.036262035369873,-2.402488470077514,5.298511505126953,2023-10-20T11:49:20.066542Z,1697802560066
-2.1857855319976807,-2.392910480499268,5.630948543548584,2023-10-20T11:49:20.077261Z,1697802560077
-2.3484790325164795,-2.323469638824463,5.967509746551514,2023-10-20T11:49:20.088433Z,1697802560088
-2.533920288085937,-2.2187764644622803,6.285713195800781,2023-10-20T11:49:20.097732Z,1697802560097
-2.740380048751831,-2.098519086837769,6.5584211349487305,2023-10-20T11:49:20.106178Z,1697802560106
-2.9549543857574463,-1.9786607027053835,6.758362293243408,2023-10-20T11:49:20.117265Z,1697802560117
-3.1607489585876465,-1.8760960102081297,6.864385604858398,2023-10-20T11:49:20.127239Z,1697802560127
-3.3418002128601074,-1.807320475578308,6.862922191619873,2023-10-20T11:49:20.138472Z,1697802560138
-3.488530158996582,-1.7824442386627195,6.755435466766357,2023-10-20T11:49:20.147527Z,1697802560147
-3.5976133346557617,-1.8019993305206297,6.558554172515869,2023-10-20T11:49:20.159009Z,1697802560158
-3.6662559509277344,-1.855742692947388,6.297153472900391,2023-10-20T11:49:20.167476Z,1697802560167
-3.691531181335449,-1.929706335067749,5.997840404510498,2023-10-20T11:49:20.178786Z,1697802560178
-3.6693155765533447,-2.0076608657836914,5.686687469482422,2023-10-20T11:49:20.188593Z,1697802560188
-3.5957510471343994,-2.073110818862915,5.385777950286865,2023-10-20T11:49:20.198569Z,1697802560198
-3.4671127796173096,-2.112620115280152,5.109212398529053,2023-10-20T11:49:20.208686Z,1697802560208
-3.354703903198242,-2.1398909091949463,5.093780994415283,2023-10-20T11:49:20.222330Z,1697802560222
-3.105276107788086,-2.1144824028015137,4.84821081161499,2023-10-20T11:49:20.228689Z,1697802560228
-2.812082052230835,-2.05515193939209,4.634700775146484,2023-10-20T11:49:20.239322Z,1697802560239
-2.4839017391204834,-1.958839535713196,4.443672180175781,2023-10-20T11:49:20.249125Z,1697802560249
-2.1273860931396484,-1.819559097290039,4.261024951934815,2023-10-20T11:49:20.260014Z,1697802560259
-1.7487881183624268,-1.6317232847213743,4.076780796051025,2023-10-20T11:49:20.271396Z,1697802560271
-1.3544926643371582,-1.39240562915802,3.888679027557373,2023-10-20T11:49:20.280067Z,1697802560280
-0.9475595355033876,-1.1055970191955566,3.698448657989502,2023-10-20T11:49:20.289428Z,1697802560289
-0.5315805077552795,-0.7830036878585815,3.508883476257324,2023-10-20T11:49:20.300060Z,1697802560300
-0.1165326610207557,-0.444314032793045,3.321846008300781,2023-10-20T11:49:20.309119Z,1697802560309
0.2825517952442169,-0.111743651330471,3.1364047527313232,2023-10-20T11:49:20.321962Z,1697802560321
0.6499755382537842,0.1934229284524917,2.9500322341918945,2023-10-20T11:49:20.329589Z,1697802560329
