ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP,norm
0.1631402969360351,0.1141433715820312,-0.0797009468078613,2023-10-21T14:59:11.486646Z,1697900351486,0.21446609681383416
0.1521377563476562,0.1002130508422851,-0.0738277435302734,2023-10-21T14:59:11.506948Z,1697900351506,0.19656827867280377
0.1324295997619629,0.0819339752197265,-0.064194917678833,2023-10-21T14:59:11.527252Z,1697900351527,0.1684391956885706
0.104280948638916,0.0604829788208007,-0.0508248805999755,2023-10-21T14:59:11.547452Z,1697900351547,0.1308276555781362
0.0683984756469726,0.0370855331420898,-0.0337274074554443,2023-10-21T14:59:11.568124Z,1697900351568,0.0848010981823237
0.0258822441101074,0.0130610466003417,-0.0129752159118652,2023-10-21T14:59:11.587961Z,1697900351587,0.0317622059440305
-0.021193504333496,-0.0098869800567626,0.0108261108398437,2023-10-21T14:59:11.608283Z,1697900351608,0.025770558327155357
-0.0667266845703125,-0.0285010337829589,0.0347356796264648,2023-10-21T14:59:11.628501Z,1697900351628,0.08044455730225473
-0.1039266586303711,-0.0401670932769775,0.0550565719604492,2023-10-21T14:59:11.651451Z,1697900351651,0.12427941049277318
-0.1276416778564453,-0.0440509319305419,0.0687451362609863,2023-10-21T14:59:11.668991Z,1697900351668,0.15152153737835217
-0.135986328125,-0.041339635848999,0.0744795799255371,2023-10-21T14:59:11.689297Z,1697900351689,0.1604632504810135
-0.1298675537109375,-0.0343000888824462,0.0723929405212402,2023-10-21T14:59:11.709562Z,1697900351709,0.15258707494908855
-0.1116628646850586,-0.0252120494842529,0.0633440017700195,2023-10-21T14:59:11.729804Z,1697900351729,0.1308308272125127
-0.0843610763549804,-0.015944480895996,0.0486335754394531,2023-10-21T14:59:11.751186Z,1697900351751,0.09867239905281816
-0.0476179122924804,-0.0073010921478271,0.0278663635253906,2023-10-21T14:59:11.770376Z,1697900351770,0.0556534431439299
-0.0040740966796875,-0.0004850029945373535,0.0024242401123046,2023-10-21T14:59:11.790650Z,1697900351790,0.004765546325685811
0.0310430526733398,0.0027216672897338,-0.0188484191894531,2023-10-21T14:59:11.810865Z,1697900351810,0.03641897167764488
0.0450954437255859,0.0027080178260803,-0.0280966758728027,2023-10-21T14:59:11.831086Z,1697900351831,0.05320108645934956
0.0267372131347656,0.0009893476963043213,-0.0171704292297363,2023-10-21T14:59:11.851415Z,1697900351851,0.03179120971292926
-0.0103654861450195,-0.00018578767776489255,0.0068898200988769,2023-10-21T14:59:11.871788Z,1697900351871,0.012447788601944065
-0.0542659759521484,-0.00013315118849277496,0.037398338317871,2023-10-21T14:59:11.891981Z,1697900351891,0.06590485250887133
-0.1019072532653808,0.0009501278400421144,0.0728425979614257,2023-10-21T14:59:11.912249Z,1697900351912,0.1252678533733886
-0.1523585319519043,0.0026287138462066,0.1128125190734863,2023-10-21T14:59:11.934589Z,1697900351934,0.1895961414552796
-0.205545425415039,0.0042597502470016,0.1573686599731445,2023-10-21T14:59:11.952693Z,1697900351952,0.2589053157487489
-0.2639923095703125,0.0048552155494689,0.2083377838134765,2023-10-21T14:59:11.972982Z,1697900351972,0.3363333834079073
-0.3268365859985351,0.003078393638134,0.2642397880554199,2023-10-21T14:59:11.993254Z,1697900351993,0.4203026243626637
-0.382425308227539,-0.0021570362150669,0.3141145706176758,2023-10-21T14:59:12.013475Z,1697900352013,0.494895678555075
-0.4244985580444336,-0.0109440833330154,0.3506674766540527,2023-10-21T14:59:12.034400Z,1697900352034,0.5507145158108
-0.4453186988830566,-0.0219379067420959,0.3664984703063965,2023-10-21T14:59:12.054031Z,1697900352053,0.5771578155617854
-0.4573616981506347,-0.0346991419792175,0.371591567993164,2023-10-21T14:59:12.074325Z,1697900352074,0.5903084336115691
-0.466555118560791,-0.0491043329238891,0.3712420463562011,2023-10-21T14:59:12.094557Z,1697900352094,0.5982520966531699
-0.4698362350463867,-0.0641685128211975,0.3637647628784179,2023-10-21T14:59:12.117790Z,1697900352117,0.5976524813905146
-0.4648756980895996,-0.0787744522094726,0.3487558364868164,2023-10-21T14:59:12.135035Z,1697900352134,0.5864686372508031
-0.4513106346130371,-0.091773509979248,0.3273639678955078,2023-10-21T14:59:12.155370Z,1697900352155,0.5650405591858203
-0.4310083389282226,-0.1025311946868896,0.302030086517334,2023-10-21T14:59:12.175669Z,1697900352175,0.5361930690257519
-0.4048819541931152,-0.1103467941284179,0.2740578651428222,2023-10-21T14:59:12.195939Z,1697900352195,0.5012120561721322
-0.3719296455383301,-0.1140596866607666,0.2432823181152343,2023-10-21T14:59:12.217699Z,1697900352217,0.45883282321444935
-0.3321065902709961,-0.1129443645477294,0.2103166580200195,2023-10-21T14:59:12.236499Z,1697900352236,0.40900405062202927
-0.2870106697082519,-0.1071224212646484,0.176638126373291,2023-10-21T14:59:12.256683Z,1697900352256,0.3536260247106352
-0.2408933639526367,-0.0980982780456543,0.1446714401245117,2023-10-21T14:59:12.276939Z,1697900352276,0.2976284773667334
-0.1941328048706054,-0.0858166217803955,0.1139502525329589,2023-10-21T14:59:12.297277Z,1697900352297,0.24090807075117496
-0.1372432708740234,-0.0653183460235595,0.0787296295166015,2023-10-21T14:59:12.317470Z,1697900352317,0.1711740526226897
-0.0653882026672363,-0.0331876277923584,0.0366148948669433,2023-10-21T14:59:12.337978Z,1697900352337,0.0819614922549181
0.0242118835449218,0.0129632949829101,-0.0132393836975097,2023-10-21T14:59:12.358014Z,1697900352357,0.030488417510534764
