ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP
-0.012902021408081055,-0.026195049285888672,-0.043456077575683594,2023-10-21T15:58:21.149766Z,1697903901149
-0.015520095825195312,-0.03077220916748047,-0.05145454406738281,2023-10-21T15:58:21.169926Z,1697903901169
-0.022704362869262695,-0.04448366165161133,-0.07527446746826172,2023-10-21T15:58:21.190754Z,1697903901190
-2.1004676818847656E-4,-4.048347473144531E-4,-6.933212280273438E-4,2023-10-21T15:58:21.210557Z,1697903901210
-0.0020723342895507812,-0.0039958953857421875,-0.006915092468261719,2023-10-21T15:58:21.230821Z,1697903901230
-2.4771690368652344E-4,-4.6634674072265625E-4,-8.1634521484375E-4,2023-10-21T15:58:21.251146Z,1697903901251
0.011515378952026367,0.02113056182861328,0.03687572479248047,2023-10-21T15:58:21.271249Z,1697903901271
0.029352188110351562,0.053286075592041016,0.09326171875,2023-10-21T15:58:21.291629Z,1697903901291
0.03987860679626465,0.0724492073059082,0.12607574462890625,2023-10-21T15:58:21.311951Z,1697903901311
0.036715030670166016,0.06768608093261719,0.11778640747070312,2023-10-21T15:58:21.332210Z,1697903901332
0.010312557220458984,0.0194244384765625,0.03353595733642578,2023-10-21T15:58:21.352486Z,1697903901352
0.01318669319152832,0.024722576141357422,0.0428314208984375,2023-10-21T15:58:21.374636Z,1697903901374
0.01603555679321289,0.029982566833496094,0.05210399627685547,2023-10-21T15:58:21.393091Z,1697903901393
0.01567697525024414,0.02925252914428711,0.05096244812011719,2023-10-21T15:58:21.413317Z,1697903901413
0.014635324478149414,0.027233123779296875,0.04754066467285156,2023-10-21T15:58:21.433580Z,1697903901433
0.012238740921020508,0.02273845672607422,0.03968048095703125,2023-10-21T15:58:21.453780Z,1697903901453
0.00733494758605957,0.013663291931152344,0.023799896240234375,2023-10-21T15:58:21.474311Z,1697903901474
-0.0014193058013916016,-0.0026574134826660156,-0.004609107971191406,2023-10-21T15:58:21.494353Z,1697903901494
-0.014084100723266602,-0.026607513427734375,-0.04581737518310547,2023-10-21T15:58:21.514613Z,1697903901514
-0.029292583465576172,-0.05585432052612305,-0.09531116485595703,2023-10-21T15:58:21.534775Z,1697903901534
-0.04707837104797363,-0.09089136123657227,-0.15330886840820312,2023-10-21T15:58:21.557655Z,1697903901557
-0.06725931167602539,-0.13222789764404297,-0.22016668319702148,2023-10-21T15:58:21.575357Z,1697903901575
-0.09256815910339355,-0.1871776580810547,-0.30776214599609375,2023-10-21T15:58:21.595693Z,1697903901595
-0.12025856971740723,-0.2529168128967285,-0.4115939140319824,2023-10-21T15:58:21.616030Z,1697903901615
-0.14759421348571777,-0.31996631622314453,-0.5162019729614258,2023-10-21T15:58:21.636114Z,1697903901636
-0.17461395263671875,-0.3797931671142578,-0.6083602905273438,2023-10-21T15:58:21.657590Z,1697903901657
-0.2059948444366455,-0.43109655380249023,-0.686011791229248,2023-10-21T15:58:21.676716Z,1697903901676
-0.2424921989440918,-0.479766845703125,-0.7600388526916504,2023-10-21T15:58:21.697020Z,1697903901696
-0.2800004482269287,-0.5340771675109863,-0.8484334945678711,2023-10-21T15:58:21.717250Z,1697903901717
-0.3181438446044922,-0.5848417282104492,-0.9389123916625977,2023-10-21T15:58:21.737403Z,1697903901737
-0.36076831817626953,-0.6336669921875,-1.0197148323059082,2023-10-21T15:58:21.757761Z,1697903901757
-0.418715238571167,-0.6590046882629395,-1.0616722106933594,2023-10-21T15:58:21.778070Z,1697903901778
-0.4795525074005127,-0.6604771614074707,-1.052438735961914,2023-10-21T15:58:21.798313Z,1697903901798
-0.527440071105957,-0.6354584693908691,-1.0119152069091797,2023-10-21T15:58:21.818519Z,1697903901818
-0.1461336612701416,-0.2631721496582031,-0.4379768371582031,2023-10-21T15:58:21.840884Z,1697903901840
-0.16704988479614258,-0.29210758209228516,-0.48496437072753906,2023-10-21T15:58:21.859225Z,1697903901859
-0.1899559497833252,-0.32161951065063477,-0.5328059196472168,2023-10-21T15:58:21.879413Z,1697903901879
-0.21503901481628418,-0.3514389991760254,-0.5810976028442383,2023-10-21T15:58:21.899691Z,1697903901899
-0.24229168891906738,-0.38054513931274414,-0.6280908584594727,2023-10-21T15:58:21.919834Z,1697903901919
-0.271878719329834,-0.4085197448730469,-0.6729531288146973,2023-10-21T15:58:21.940801Z,1697903901940
-0.30376172065734863,-0.4347705841064453,-0.7150306701660156,2023-10-21T15:58:21.960383Z,1697903901960
-0.33777332305908203,-0.45942258834838867,-0.7546019554138184,2023-10-21T15:58:21.980705Z,1697903901980
-0.37378382682800293,-0.4823007583618164,-0.7916908264160156,2023-10-21T15:58:22.000877Z,1697903902000
-0.4117624759674072,-0.503171443939209,-0.8254895210266113,2023-10-21T15:58:22.024266Z,1697903902024
-0.45166635513305664,-0.5216426849365234,-0.8549103736877441,2023-10-21T15:58:22.041434Z,1697903902041
-0.4930379390716553,-0.5368504524230957,-0.8784079551696777,2023-10-21T15:58:22.061765Z,1697903902061
-0.5349740982055664,-0.548065185546875,-0.8946819305419922,2023-10-21T15:58:22.082024Z,1697903902081
-0.5759434700012207,-0.5543806552886963,-0.9020333290100098,2023-10-21T15:58:22.102240Z,1697903902102
-0.6142177581787109,-0.5550382137298584,-0.8990054130554199,2023-10-21T15:58:22.124092Z,1697903902124
-0.6482033729553223,-0.5499327182769775,-0.885258674621582,2023-10-21T15:58:22.142771Z,1697903902142
-0.6767888069152832,-0.539679765701294,-0.8616266250610352,2023-10-21T15:58:22.163103Z,1697903902163
