ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP
0.017916440963745117,0.026658058166503906,0.11382579803466797,2023-10-20T12:12:01.570511Z,1697803921570
0.022540926933288574,0.03546857833862305,0.14949417114257812,2023-10-20T12:12:01.590484Z,1697803921590
-0.012378454208374023,-0.018822193145751953,-0.08012771606445312,2023-10-20T12:12:01.614220Z,1697803921614
-0.033316731452941895,-0.04977679252624512,-0.21257495880126953,2023-10-20T12:12:01.631023Z,1697803921630
-0.06093001365661621,-0.0867776870727539,-0.3669157028198242,2023-10-20T12:12:01.651564Z,1697803921651
-0.06556665897369385,-0.08913874626159668,-0.3794994354248047,2023-10-20T12:12:01.671601Z,1697803921671
-0.0640953779220581,-0.08452844619750977,-0.3672618865966797,2023-10-20T12:12:01.692068Z,1697803921692
-0.0601809024810791,-0.07834744453430176,-0.35489559173583984,2023-10-20T12:12:01.714003Z,1697803921713
-0.050637006759643555,-0.06520748138427734,-0.3127870559692383,2023-10-20T12:12:01.734361Z,1697803921734
-0.04223334789276123,-0.054544925689697266,-0.2659435272216797,2023-10-20T12:12:01.753456Z,1697803921753
-0.0401691198348999,-0.055444955825805664,-0.2471466064453125,2023-10-20T12:12:01.773131Z,1697803921773
-0.04626321792602539,-0.06267189979553223,-0.2836933135986328,2023-10-20T12:12:01.796808Z,1697803921796
-0.048225998878479004,-0.06475591659545898,-0.29624176025390625,2023-10-20T12:12:01.814397Z,1697803921814
-0.047924160957336426,-0.06456136703491211,-0.2971782684326172,2023-10-20T12:12:01.834347Z,1697803921834
-0.045403242111206055,-0.06213092803955078,-0.2864704132080078,2023-10-20T12:12:01.854268Z,1697803921854
-0.04402804374694824,-0.061948299407958984,-0.2847127914428711,2023-10-20T12:12:01.874928Z,1697803921874
-0.04520869255065918,-0.06559991836547852,-0.2987642288208008,2023-10-20T12:12:01.896874Z,1697803921896
-0.04965567588806152,-0.07508301734924316,-0.3359842300415039,2023-10-20T12:12:01.917665Z,1697803921917
-0.05821847915649414,-0.09301424026489258,-0.4043874740600586,2023-10-20T12:12:01.935222Z,1697803921935
-0.06998884677886963,-0.12185883522033691,-0.5066595077514648,2023-10-20T12:12:01.956204Z,1697803921956
-0.08448421955108643,-0.1638650894165039,-0.6329793930053711,2023-10-20T12:12:01.976204Z,1697803921976
-0.10687494277954102,-0.23371672630310059,-0.8087787628173828,2023-10-20T12:12:01.997475Z,1697803921997
-0.13274860382080078,-0.3417549133300781,-1.0573692321777344,2023-10-20T12:12:02.017630Z,1697803922017
-0.1424427628517151,-0.49808573722839355,-1.3468775749206543,2023-10-20T12:12:02.037044Z,1697803922037
-0.15019452571868896,-0.7369866371154785,-1.6672520637512207,2023-10-20T12:12:02.057572Z,1697803922057
-0.2094188928604126,-1.0373883247375488,-1.893106460571289,2023-10-20T12:12:02.080664Z,1697803922080
-0.3514019250869751,-1.3389763832092285,-1.9491887092590332,2023-10-20T12:12:02.100815Z,1697803922100
-0.5177518129348755,-1.5637245178222656,-1.8646221160888672,2023-10-20T12:12:02.118197Z,1697803922118
-0.6444634199142456,-1.7126951217651367,-1.7094097137451172,2023-10-20T12:12:02.139038Z,1697803922138
-0.7653191089630127,-1.7828164100646973,-1.4749040603637695,2023-10-20T12:12:02.158409Z,1697803922158
-0.8950202465057373,-1.7335729598999023,-1.1914191246032715,2023-10-20T12:12:02.180790Z,1697803922180
-0.9988212585449219,-1.5372743606567383,-0.8985779285430908,2023-10-20T12:12:02.198662Z,1697803922198
-0.9287586212158203,-1.114365577697754,-0.5611450672149658,2023-10-20T12:12:02.218942Z,1697803922218
-0.5422749519348145,-0.500145435333252,-0.2217388153076172,2023-10-20T12:12:02.239466Z,1697803922239
-0.4512968063354492,-0.7378747463226318,-1.5068883895874023,2023-10-20T12:12:02.259889Z,1697803922259
-0.5518066883087158,-0.8162496089935303,-1.542543888092041,2023-10-20T12:12:02.280537Z,1697803922280
-0.6590576171875,-0.8775482177734375,-1.5428757667541504,2023-10-20T12:12:02.300417Z,1697803922300
-0.7665262222290039,-0.9169766902923584,-1.507817268371582,2023-10-20T12:12:02.320957Z,1697803922320
-0.8662428855895996,-0.9297103881835938,-1.4365134239196777,2023-10-20T12:12:02.340767Z,1697803922340
-0.9480166435241699,-0.9126653671264648,-1.3316445350646973,2023-10-20T12:12:02.363975Z,1697803922363
-1.001573085784912,-0.866783618927002,-1.1997756958007812,2023-10-20T12:12:02.381263Z,1697803922381
-1.0193634033203125,-0.796849250793457,-1.0499920845031738,2023-10-20T12:12:02.401849Z,1697803922401
-0.9982690811157227,-0.7094135284423828,-0.8920211791992188,2023-10-20T12:12:02.422032Z,1697803922421
