ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP
-0.02476048469543457,-0.016220569610595703,-0.05910015106201172,2023-10-20T12:18:09.144635Z,1697804289144
-0.030557632446289062,-0.02050161361694336,-0.07410526275634766,2023-10-20T12:18:09.164905Z,1697804289164
-0.0497281551361084,-0.03186798095703125,-0.1194295883178711,2023-10-20T12:18:09.184882Z,1697804289184
-0.05092358589172363,-0.030849456787109375,-0.12192249298095703,2023-10-20T12:18:09.205828Z,1697804289205
-0.06047821044921875,-0.037129878997802734,-0.14055442810058594,2023-10-20T12:18:09.225653Z,1697804289225
-0.026398181915283203,-0.014891862869262695,-0.05859565734863281,2023-10-20T12:18:09.246451Z,1697804289246
-0.004966020584106445,-0.0029277801513671875,-0.011206626892089844,2023-10-20T12:18:09.266252Z,1697804289266
0.001012563705444336,5.908012390136719E-4,0.0022602081298828125,2023-10-20T12:18:09.286022Z,1697804289285
-0.012251615524291992,-0.007066965103149414,-0.027449607849121094,2023-10-20T12:18:09.306742Z,1697804289306
-0.014260053634643555,-0.008348226547241211,-0.032501220703125,2023-10-20T12:18:09.326851Z,1697804289326
-0.02677440643310547,-0.016080141067504883,-0.061713218688964844,2023-10-20T12:18:09.347553Z,1697804289347
-0.026465415954589844,-0.015683412551879883,-0.060753822326660156,2023-10-20T12:18:09.367598Z,1697804289367
-0.02498626708984375,-0.014663934707641602,-0.057097434997558594,2023-10-20T12:18:09.389233Z,1697804289389
-0.026546716690063477,-0.015548467636108398,-0.060486793518066406,2023-10-20T12:18:09.408166Z,1697804289408
-0.030968904495239258,-0.0181729793548584,-0.0705413818359375,2023-10-20T12:18:09.428421Z,1697804289428
-0.04434919357299805,-0.026456356048583984,-0.10135459899902344,2023-10-20T12:18:09.449038Z,1697804289449
-0.06615805625915527,-0.04029560089111328,-0.15141868591308594,2023-10-20T12:18:09.469050Z,1697804289469
-0.09627938270568848,-0.060621023178100586,-0.22056007385253906,2023-10-20T12:18:09.489155Z,1697804289489
-0.13507485389709473,-0.09030771255493164,-0.3096761703491211,2023-10-20T12:18:09.509810Z,1697804289509
-0.18714356422424316,-0.13519048690795898,-0.4298534393310547,2023-10-20T12:18:09.529615Z,1697804289529
-0.24101924896240234,-0.18865060806274414,-0.5561542510986328,2023-10-20T12:18:09.550393Z,1697804289550
-0.2849404811859131,-0.23795771598815918,-0.6630458831787109,2023-10-20T12:18:09.573638Z,1697804289573
-0.31505298614501953,-0.27516794204711914,-0.7415676116943359,2023-10-20T12:18:09.593653Z,1697804289593
-0.33409619331359863,-0.3049905300140381,-0.7930698394775391,2023-10-20T12:18:09.610244Z,1697804289610
-0.36358118057250977,-0.3497200012207031,-0.8588318824768066,2023-10-20T12:18:09.631142Z,1697804289631
-0.4043126106262207,-0.41645240783691406,-0.9383068084716797,2023-10-20T12:18:09.651691Z,1697804289651
-0.4559903144836426,-0.5120894908905029,-1.0288910865783691,2023-10-20T12:18:09.673556Z,1697804289673
-0.510338544845581,-0.6244730949401855,-1.107144832611084,2023-10-20T12:18:09.693694Z,1697804289693
-0.5619194507598877,-0.7380537986755371,-1.1604442596435547,2023-10-20T12:18:09.712049Z,1697804289712
-0.6097967624664307,-0.8312468528747559,-1.165414810180664,2023-10-20T12:18:09.732578Z,1697804289732
-0.6578717231750488,-0.9137134552001953,-1.1341285705566406,2023-10-20T12:18:09.752691Z,1697804289752
-0.7004344463348389,-0.9816579818725586,-1.0542073249816895,2023-10-20T12:18:09.773363Z,1697804289773
-0.7348556518554688,-1.0242242813110352,-0.9232878684997559,2023-10-20T12:18:09.793130Z,1697804289793
-0.756011962890625,-1.0232629776000977,-0.7621517181396484,2023-10-20T12:18:09.813438Z,1697804289813
-0.4062533378601074,-0.3791649341583252,-0.8283653259277344,2023-10-20T12:18:09.833836Z,1697804289833
-0.45720338821411133,-0.4401671886444092,-0.8913750648498535,2023-10-20T12:18:09.855237Z,1697804289855
-0.5107378959655762,-0.5037407875061035,-0.9435606002807617,2023-10-20T12:18:09.874335Z,1697804289874
-0.5657775402069092,-0.5665466785430908,-0.980443000793457,2023-10-20T12:18:09.894437Z,1697804289894
-0.6206820011138916,-0.624312162399292,-0.9979186058044434,2023-10-20T12:18:09.914905Z,1697804289914
-0.6729793548583984,-0.6727514266967773,-0.9936413764953613,2023-10-20T12:18:09.935397Z,1697804289935
-0.7188730239868164,-0.7070999145507812,-0.9663276672363281,2023-10-20T12:18:09.956519Z,1697804289956
-0.7539782524108887,-0.7233939170837402,-0.9164495468139648,2023-10-20T12:18:09.975009Z,1697804289974
-0.7732815742492676,-0.7186150550842285,-0.8460674285888672,2023-10-20T12:18:09.995770Z,1697804289995
-0.7721843719482422,-0.6911296844482422,-0.7586703300476074,2023-10-20T12:18:10.016184Z,1697804290016
-0.7464885711669922,-0.6404104232788086,-0.6580228805541992,2023-10-20T12:18:10.039156Z,1697804290039
-0.6942191123962402,-0.5688261985778809,-0.5494375228881836,2023-10-20T12:18:10.056895Z,1697804290056
-0.6161718368530273,-0.4815330505371094,-0.4388713836669922,2023-10-20T12:18:10.077235Z,1697804290077
-0.5161209106445312,-0.3852200508117676,-0.3320789337158203,2023-10-20T12:18:10.097493Z,1697804290097
-0.40045738220214844,-0.28640127182006836,-0.23383569717407227,2023-10-20T12:18:10.117521Z,1697804290117
-0.27483320236206055,-0.18915271759033203,-0.14631962776184082,2023-10-20T12:18:10.139516Z,1697804290139
-0.14304590225219727,-0.09510946273803711,-0.06970906257629395,2023-10-20T12:18:10.158010Z,1697804290157
