ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP,norm,Line_Number
0.2425193786621093,0.1367654800415039,0.121058702468872,2023-10-20T12:10:40.311086Z,1697803840311,0.303604438375142,0
0.0294370651245117,0.0159406661987304,0.0153369903564453,2023-10-20T12:10:40.331346Z,1697803840331,0.0368221253487327,1
-0.1868228912353515,-0.0965421199798584,-0.1015920639038086,2023-10-20T12:10:40.354522Z,1697803840354,0.2335468284262856,2
-0.4023780822753906,-0.197089672088623,-0.2282929420471191,2023-10-20T12:10:40.371664Z,1697803840371,0.502861936646781,3
-0.615056037902832,-0.2837262153625488,-0.363919734954834,2023-10-20T12:10:40.391922Z,1697803840391,0.7689161648283134,4
-0.8248715400695801,-0.3562409877777099,-0.5089983940124512,2023-10-20T12:10:40.412879Z,1697803840412,1.032666482508682,5
-1.03239107131958,-0.4148895740509033,-0.6644086837768555,2023-10-20T12:10:40.432852Z,1697803840432,1.2959180459715127,6
-1.2367267608642578,-0.4589967727661133,-0.8295321464538574,2023-10-20T12:10:40.454414Z,1697803840454,1.558298655729334,7
-1.4351811408996582,-0.4869675636291504,-1.0018348693847656,2023-10-20T12:10:40.473443Z,1697803840473,1.8167430805527087,8
-1.623511791229248,-0.4968706369400024,-1.1771459579467771,2023-10-20T12:10:40.493703Z,1697803840493,2.0659969923559918,9
-1.797260284423828,-0.4875993728637695,-1.3504643440246582,2023-10-20T12:10:40.513691Z,1697803840513,2.300359020428401,10
-1.952592372894287,-0.4591983556747436,-1.5162625312805176,2023-10-20T12:10:40.534087Z,1697803840534,2.5144645887951045,11
-2.086618423461914,-0.4129818677902221,-1.6677579879760742,2023-10-20T12:10:40.554299Z,1697803840554,2.7029515672154,12
-2.1980504989624023,-0.3521108031272888,-1.7973055839538574,2023-10-20T12:10:40.574531Z,1697803840574,2.861068921885582,13
-2.287970542907715,-0.2821442484855652,-1.8980655670166016,2023-10-20T12:10:40.594574Z,1697803840594,2.986145923906091,14
-2.35863733291626,-0.209831029176712,-1.966147422790528,2023-10-20T12:10:40.614978Z,1697803840614,3.077813317467049,15
-2.409246921539306,-0.140458881855011,-1.9980106353759768,2023-10-20T12:10:40.638111Z,1697803840638,3.133088879287356,16
-2.4369912147521973,-0.0778588503599166,-1.9898285865783687,2023-10-20T12:10:40.655299Z,1697803840655,3.147126623655811,17
-2.4391260147094727,-0.0256116725504398,-1.938230037689209,2023-10-20T12:10:40.675417Z,1697803840675,3.115562124625997,18
-2.4160032272338867,0.0127445235848426,-1.843672275543213,2023-10-20T12:10:40.696328Z,1697803840696,3.0391382786067256,19
-2.3686299324035645,0.0346779450774192,-1.7101507186889648,2023-10-20T12:10:40.716494Z,1697803840716,2.921682015070307,20
-2.2951951026916504,0.0393561050295829,-1.542835712432861,2023-10-20T12:10:40.738554Z,1697803840738,2.765829260453553,21
-2.1902623176574707,0.02871835231781,-1.3472888469696045,2023-10-20T12:10:40.756876Z,1697803840756,2.5716261394453923,22
-2.0456552505493164,0.0066007878631353,-1.1300666332244873,2023-10-20T12:10:40.776934Z,1697803840776,2.337049329823341,23
-1.8525481224060056,-0.0208969712257385,-0.8999252319335938,2023-10-20T12:10:40.797837Z,1697803840797,2.0596690637835877,24
-1.6031489372253418,-0.0468714982271194,-0.6670174598693848,2023-10-20T12:10:40.817610Z,1697803840817,1.7370076983258893,25
-1.2917790412902832,-0.0644973218441009,-0.4432466030120849,2023-10-20T12:10:40.837942Z,1697803840837,1.367230977971044,26
-0.9131975173950196,-0.0664751529693603,-0.2430014610290527,2023-10-20T12:10:40.858142Z,1697803840858,0.9473111219662635,27
-0.4648952484130859,-0.0454447269439697,-0.0859099626541137,2023-10-20T12:10:40.878916Z,1697803840878,0.4749456146626769,28
0.0476770401000976,0.0059825181961059,0.0047669410705566,2023-10-20T12:10:40.898934Z,1697803840898,0.0482867932652729,29
0.6075601577758789,0.0957608222961425,0.0073368102312088,2023-10-20T12:10:40.921020Z,1697803840920,0.6151043075673044,30
1.207737922668457,0.2372002601623535,-0.0954928994178772,2023-10-20T12:10:40.939465Z,1697803840939,1.2345095168170397,31
1.853742599487305,0.451129674911499,-0.3222850561141968,2023-10-20T12:10:40.959981Z,1697803840959,1.9348765506187304,32
2.564006805419922,0.76528000831604,-0.6901979446411133,2023-10-20T12:10:40.980257Z,1697803840980,2.7633598376170063,33
3.338167190551758,1.201704978942871,-1.2069075107574463,2023-10-20T12:10:41.000055Z,1697803841000,3.7475433003522505,34
4.15943717956543,1.7692630290985107,-1.8686656951904297,2023-10-20T12:10:41.020593Z,1697803841020,4.891126741075883,35
4.986684322357178,2.4661459922790527,-2.6585936546325684,2023-10-20T12:10:41.040614Z,1697803841040,6.1657940937505735,36
5.786855697631836,3.2840118408203125,-3.547114849090576,2023-10-20T12:10:41.061101Z,1697803841061,7.540189413303947,37
6.5266523361206055,4.207622528076172,-4.479089736938477,2023-10-20T12:10:41.081093Z,1697803841081,8.964570426234056,38
7.20184850692749,5.205587863922119,-5.399771690368652,2023-10-20T12:10:41.104351Z,1697803841104,10.398187401362494,39
7.839117050170898,6.246406078338623,-6.288185119628906,2023-10-20T12:10:41.121436Z,1697803841121,11.832608212921958,40
8.434103965759277,7.289764404296875,-7.127133369445801,2023-10-20T12:10:41.141562Z,1697803841141,13.231432456134822,41
8.982712745666504,8.298347473144531,-7.899751663208008,2023-10-20T12:10:41.162401Z,1697803841162,14.558769707518604,42
9.459095001220703,9.233797073364258,-8.600083351135254,2023-10-20T12:10:41.182394Z,1697803841182,15.770190876481571,43
9.846436500549316,10.072637557983398,-9.22817039489746,2023-10-20T12:10:41.204302Z,1697803841204,16.83952101370789,44
10.14043140411377,10.812788009643556,-9.778461456298828,2023-10-20T12:10:41.223132Z,1697803841223,17.75846395540307,45
10.354634284973145,11.449502944946287,-10.232632637023926,2023-10-20T12:10:41.243526Z,1697803841243,18.520700298481216,46
10.491528511047363,11.982157707214355,-10.573494911193848,2023-10-20T12:10:41.263527Z,1697803841263,19.11656528918619,47
