GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP
0.15205118060112,1.8798208236694336,-0.8074808716773987,2023-10-21T15:38:54.787071Z,1697902734787
0.1628264635801315,2.094794273376465,-0.8516462445259094,2023-10-21T15:38:54.798312Z,1697902734798
0.1770604699850082,2.3244009017944336,-0.8875638246536255,2023-10-21T15:38:54.807131Z,1697902734807
0.1952853202819824,2.5607919692993164,-0.910976767539978,2023-10-21T15:38:54.816543Z,1697902734816
0.2189643383026123,2.794788360595703,-0.9198896884918212,2023-10-21T15:38:54.827343Z,1697902734827
0.2498268634080886,3.0136196613311768,-0.9143024682998656,2023-10-21T15:38:54.836852Z,1697902734836
0.2898683547973633,3.201588630676269,-0.8944813013076782,2023-10-21T15:38:54.848554Z,1697902734848
0.3400199711322784,3.348451614379883,-0.8620223999023438,2023-10-21T15:38:54.857091Z,1697902734857
0.400281697511673,3.453809976577759,-0.819586455821991,2023-10-21T15:38:54.867934Z,1697902734867
0.4694563448429107,3.5224523544311523,-0.771430253982544,2023-10-21T15:38:54.877252Z,1697902734877
0.5455484390258789,3.560365438461304,-0.7210125923156738,2023-10-21T15:38:54.888261Z,1697902734888
0.626429557800293,3.575397729873657,-0.670062780380249,2023-10-21T15:38:54.898292Z,1697902734898
0.7102373242378235,3.5760626792907715,-0.619113028049469,2023-10-21T15:38:54.908395Z,1697902734908
0.7947101593017578,3.5692782402038574,-0.5682962536811829,2023-10-21T15:38:54.917879Z,1697902734917
0.8770546317100525,3.559434175491333,-0.5180116295814514,2023-10-21T15:38:54.932438Z,1697902734932
0.954609990119934,3.556640625,-0.4701215028762817,2023-10-21T15:38:54.938158Z,1697902734938
1.025514006614685,3.5781912803649902,-0.4271534085273742,2023-10-21T15:38:54.948925Z,1697902734948
1.090032696723938,3.648430109024048,-0.3930981755256653,2023-10-21T15:38:54.958366Z,1697902734958
1.1501613855361938,3.797687768936157,-0.3726118505001068,2023-10-21T15:38:54.969295Z,1697902734969
1.2078956365585327,4.0527024269104,-0.3703503608703613,2023-10-21T15:38:54.981553Z,1697902734981
1.2642995119094849,4.431965827941895,-0.3895064294338226,2023-10-21T15:38:54.989392Z,1697902734989
1.320969581604004,4.955697536468506,-0.432740569114685,2023-10-21T15:38:54.998908Z,1697902734998
1.3747129440307615,5.343873977661133,-0.5017821788787842,2023-10-21T15:38:55.009738Z,1697902735009
1.4359058141708374,6.074464321136475,-0.5958331227302551,2023-10-21T15:38:55.019244Z,1697902735019
1.496965765953064,6.894716262817383,-0.7101042866706848,2023-10-21T15:38:55.031917Z,1697902735031
1.552438497543335,7.746362209320068,-0.8364810347557068,2023-10-21T15:38:55.039449Z,1697902735039
1.5956727266311646,8.56022834777832,-0.9648531675338744,2023-10-21T15:38:55.050465Z,1697902735050
1.6189526319503784,9.258493423461914,-1.0825830698013306,2023-10-21T15:38:55.059646Z,1697902735059
1.6145626306533811,9.759876251220703,-1.1765010356903076,2023-10-21T15:38:55.070792Z,1697902735070
1.5769157409667969,10.001588821411133,-1.235432505607605,2023-10-21T15:38:55.081545Z,1697902735081
1.5048145055770874,9.964341163635254,-1.2543224096298218,2023-10-21T15:38:55.090771Z,1697902735090
1.4038461446762085,9.681788444519045,-1.2356984615325928,2023-10-21T15:38:55.100270Z,1697902735100
1.2831895351409912,9.224571228027344,-1.187808394432068,2023-10-21T15:38:55.111018Z,1697902735110
1.1525559425354004,8.664655685424805,-1.1202300786972046,2023-10-21T15:38:55.120565Z,1697902735120
1.019527792930603,8.05179500579834,-1.040945291519165,2023-10-21T15:38:55.131885Z,1697902735131
0.8894262313842773,7.420576572418213,-0.9562063813209534,2023-10-21T15:38:55.140750Z,1697902735140
0.766907274723053,6.7978715896606445,-0.8704031705856323,2023-10-21T15:38:55.151843Z,1697902735151
0.6534342765808105,6.1987128257751465,-0.7860633730888367,2023-10-21T15:38:55.160959Z,1697902735160
0.5495392680168152,5.629884243011475,-0.7047831416130066,2023-10-21T15:38:55.172166Z,1697902735172
0.4546902179718017,5.095643520355225,-0.6277598738670349,2023-10-21T15:38:55.181535Z,1697902735181
0.3696852326393127,4.79872465133667,-0.5563237071037292,2023-10-21T15:38:55.192137Z,1697902735192
0.2942582666873932,4.294148921966553,-0.4896766245365143,2023-10-21T15:38:55.201617Z,1697902735201
0.2282763123512268,3.835068702697754,-0.4276854991912842,2023-10-21T15:38:55.215158Z,1697902735215
0.1713402569293975,3.4166951179504395,-0.3703503608703613,2023-10-21T15:38:55.221910Z,1697902735221
0.1242482960224151,3.0440831184387207,-0.3178042471408844,2023-10-21T15:38:55.232753Z,1697902735232
0.0877985805273056,2.72202205657959,-0.269781082868576,2023-10-21T15:38:55.242068Z,1697902735242
0.0609268918633461,2.4461216926574707,-0.2246845513582229,2023-10-21T15:38:55.253094Z,1697902735253
0.0415047816932201,2.205340623855591,-0.1803861707448959,2023-10-21T15:38:55.264700Z,1697902735264
0.0270047150552272,1.988371729850769,-0.1350235790014267,2023-10-21T15:38:55.273142Z,1697902735273
0.0146330967545509,1.7876323461532593,-0.0883306935429573,2023-10-21T15:38:55.282655Z,1697902735282
0.0019954221788793,1.5982002019882202,-0.0413717553019523,2023-10-21T15:38:55.293442Z,1697902735293
-0.0043899291194975,1.3953323364257812,-0.0167615469545125,2023-10-21T15:38:55.302954Z,1697902735302
-0.0215505603700876,1.2313085794448853,0.0292661935091018,2023-10-21T15:38:55.315495Z,1697902735315
-0.0361836589872837,1.0916290283203125,0.0685094967484474,2023-10-21T15:38:55.323232Z,1697902735323
