GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
-0.3015748262405395,-0.1598998457193374,-0.2007394880056381,2023-10-20T11:58:35.068612Z,1697803115068,0
-0.288405030965805,-0.1983449757099151,-0.2063266634941101,2023-10-20T11:58:35.079550Z,1697803115079,1
-0.2732398211956024,-0.2415791302919387,-0.2121798992156982,2023-10-20T11:58:35.088988Z,1697803115088,2
-0.2552810311317444,-0.2826848328113556,-0.2148404717445373,2023-10-20T11:58:35.100113Z,1697803115100,3
-0.236124962568283,-0.3168730437755584,-0.2116477936506271,2023-10-20T11:58:35.112395Z,1697803115112,4
-0.2189643383026123,-0.3418823480606079,-0.2008725106716156,2023-10-20T11:58:35.120778Z,1697803115120,5
-0.2060606032609939,-0.3562493920326233,-0.1829137057065963,2023-10-20T11:58:35.129329Z,1697803115129,6
-0.1967486441135406,-0.358643889427185,-0.1601658910512924,2023-10-20T11:58:35.140682Z,1697803115140,7
-0.190097227692604,-0.3495979905128479,-0.1364868879318237,2023-10-20T11:58:35.149345Z,1697803115149,8
-0.1737347692251205,-0.3175382018089294,-0.1157344952225685,2023-10-20T11:58:35.162643Z,1697803115162,9
-0.1774595528841018,-0.30024453997612,-0.1033628731966018,2023-10-20T11:58:35.170312Z,1697803115170,10
-0.1998082846403122,-0.3047674894332886,-0.102697730064392,2023-10-20T11:58:35.181325Z,1697803115181,11
-0.2132441252470016,-0.3074280619621277,-0.1150693520903587,2023-10-20T11:58:35.190323Z,1697803115190,12
-0.2337304651737213,-0.3257859349250793,-0.1406107544898986,2023-10-20T11:58:35.201252Z,1697803115201,13
-0.2587397694587707,-0.354786068201065,-0.1751980781555175,2023-10-20T11:58:35.212134Z,1697803115212,14
-0.285212367773056,-0.3883091807365417,-0.2139092683792114,2023-10-20T11:58:35.221324Z,1697803115221,15
-0.3112858831882477,-0.4201028943061828,-0.2510241270065307,2023-10-20T11:58:35.230901Z,1697803115230,16
-0.3353639841079712,-0.4427177011966705,-0.2805563807487488,2023-10-20T11:58:35.241492Z,1697803115241,17
-0.3551851511001587,-0.44843789935112,-0.2953225076198578,2023-10-20T11:58:35.250317Z,1697803115250,18
-0.3670246601104736,-0.4331396520137787,-0.2907995283603668,2023-10-20T11:58:35.262296Z,1697803115262,19
-0.3433456718921661,-0.3895064294338226,-0.262730598449707,2023-10-20T11:58:35.271469Z,1697803115271,20
-0.340419054031372,-0.3457401692867279,-0.2288084179162979,2023-10-20T11:58:35.282058Z,1697803115282,21
