ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP,norm,Line_Number
-1.276343822479248,0.4927005767822265,-0.2598507404327392,2023-10-20T11:58:56.315069Z,1697803136315,1.39259822592373,0
-1.139634609222412,0.4855406284332275,-0.2183552980422973,2023-10-20T11:58:56.335661Z,1697803136335,1.2578536403652032,1
-1.0228395462036133,0.4740023612976074,-0.1857533454895019,2023-10-20T11:58:56.356117Z,1697803136356,1.1425337111675364,2
-0.9242711067199708,0.4612283706665039,-0.1604113578796386,2023-10-20T11:58:56.376138Z,1697803136376,1.0453422847861016,3
-0.8485879898071289,0.4533033370971679,-0.1418591737747192,2023-10-20T11:58:56.396781Z,1697803136396,0.972475972480749,4
-0.8061294555664062,0.4600028991699219,-0.12979257106781,2023-10-20T11:58:56.416871Z,1697803136416,0.9371731312201158,5
-0.8029999732971191,0.489743709564209,-0.1226404905319213,2023-10-20T11:58:56.437334Z,1697803136437,0.9485244056379344,6
-0.8324775695800781,0.5439739227294922,-0.1155455112457275,2023-10-20T11:58:56.457858Z,1697803136457,1.0011380012928797,7
-0.8767433166503906,0.6165876388549805,-0.1005327701568603,2023-10-20T11:58:56.481018Z,1697803136480,1.0765528308240608,8
-0.9113945960998536,0.6955838203430176,-0.0685968995094299,2023-10-20T11:58:56.497415Z,1697803136497,1.148556701058032,9
-0.9110507965087892,0.7655429840087891,-0.0135423466563224,2023-10-20T11:58:56.518006Z,1697803136517,1.1900642879010108,10
-0.8468270301818848,0.7998433113098145,0.0621250867843627,2023-10-20T11:58:56.538072Z,1697803136538,1.166501122203354,11
-0.6901512145996094,0.7508120536804199,0.1371638774871826,2023-10-20T11:58:56.558780Z,1697803136558,1.0290001789370324,12
-0.4306545257568359,0.5537161827087402,0.1616356372833252,2023-10-20T11:58:56.580049Z,1697803136580,0.7198548539729179,13
-0.0987405776977539,0.1534371376037597,0.0615582466125488,2023-10-20T11:58:56.598598Z,1697803136598,0.1925670652165957,14
0.2428627014160156,-0.4610071182250976,-0.2343945503234863,2023-10-20T11:58:56.618923Z,1697803136618,0.571358608944193,15
0.533660888671875,-1.2235465049743652,-0.7528376579284668,2023-10-20T11:58:56.639857Z,1697803136639,1.5325222781833414,16
0.7534642219543457,-2.010825157165528,-1.4502248764038086,2023-10-20T11:58:56.659493Z,1697803136659,2.5911924549510945,17
0.921682596206665,-2.6970038414001465,-2.224503517150879,2023-10-20T11:58:56.680456Z,1697803136680,3.615486748211648,18
1.0605261325836182,-3.224487781524658,-2.985270977020264,2023-10-20T11:58:56.700362Z,1697803136700,4.520384932429328,19
1.1694939136505127,-3.566990852355957,-3.650497913360596,2023-10-20T11:58:56.720873Z,1697803136720,5.236150758936065,20
1.2577781677246094,-3.760128974914551,-4.215168952941895,2023-10-20T11:58:56.740733Z,1697803136740,5.786901168072762,21
1.319260835647583,-3.8044662475585938,-4.676106929779053,2023-10-20T11:58:56.763096Z,1697803136763,6.170930934633267,22
1.3778696060180664,-3.70416259765625,-5.027525424957275,2023-10-20T11:58:56.781189Z,1697803136781,6.394947779275114,23
1.4337434768676758,-3.4652395248413086,-5.263149261474609,2023-10-20T11:58:56.801494Z,1697803136801,6.462526245249899,24
1.468604326248169,-3.1056771278381348,-5.34893798828125,2023-10-20T11:58:56.821952Z,1697803136821,6.357135100965688,25
1.467177152633667,-2.686654090881348,-5.292789459228516,2023-10-20T11:58:56.841995Z,1697803136841,6.114273404173238,26
1.4143781661987305,-2.259714365005493,-5.148209571838379,2023-10-20T11:58:56.863319Z,1697803136863,5.797485351771074,27
1.3203864097595217,-1.870655536651612,-4.985984802246094,2023-10-20T11:58:56.882697Z,1697803136882,5.486603398835384,28
1.2120904922485352,-1.526158332824707,-4.83219051361084,2023-10-20T11:58:56.903013Z,1697803136902,5.210411478768273,29
1.1289803981781006,-1.2241461277008057,-4.7119646072387695,2023-10-20T11:58:56.923257Z,1697803136923,4.997573505342976,30
1.083172082901001,-0.9324748516082764,-4.573642730712891,2023-10-20T11:58:56.946280Z,1697803136946,4.791761569429434,31
1.0813899040222168,-0.6463236808776855,-4.36620044708252,2023-10-20T11:58:56.963574Z,1697803136963,4.544320055749601,32
1.0942811965942385,-0.3645367622375488,-4.056049346923828,2023-10-20T11:58:56.984295Z,1697803136984,4.216856019942294,33
1.108021259307861,-0.0951144844293594,-3.632134437561035,2023-10-20T11:58:57.004601Z,1697803137004,3.798573212239466,34
1.1254587173461914,0.1537092924118042,-3.152651786804199,2023-10-20T11:58:57.024579Z,1697803137024,3.3510441894824337,35
1.1482305526733398,0.3837727308273315,-2.668543815612793,2023-10-20T11:58:57.046475Z,1697803137046,2.93033121112008,36
1.191781997680664,0.5978374481201172,-2.2319955825805664,2023-10-20T11:58:57.065534Z,1697803137065,2.5999150418868786,37
1.2898774147033691,0.8291926383972168,-1.9002089500427248,2023-10-20T11:58:57.085391Z,1697803137085,2.441749010516122,38
1.510702133178711,1.153855323791504,-1.706193923950195,2023-10-20T11:58:57.105871Z,1697803137105,2.5543493789137908,39
1.9045090675354004,1.6582870483398438,-1.599919319152832,2023-10-20T11:58:57.125896Z,1697803137125,2.989450208786675,40
2.442570209503174,2.36197280883789,-1.459848165512085,2023-10-20T11:58:57.146022Z,1697803137145,3.698137564287047,41
3.037910461425781,3.2081422805786133,-1.203232765197754,2023-10-20T11:58:57.166415Z,1697803137166,4.579175247937316,42
3.5887880325317383,4.088675022125244,-0.82662034034729,2023-10-20T11:58:57.186933Z,1697803137186,5.50272334086221,43
