ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP,norm
0.8724889755249023,0.4348130226135254,-0.1374515295028686,2023-10-21T15:48:19.153522Z,1697903299153,0.9844756472404392
0.9451541900634766,0.4672932624816894,-0.1466867923736572,2023-10-21T15:48:19.173818Z,1697903299173,1.0645170037215
1.0217838287353516,0.5019869804382324,-0.1561522483825683,2023-10-21T15:48:19.196847Z,1697903299196,1.1490938368425356
1.0996370315551758,0.537651538848877,-0.1652874946594238,2023-10-21T15:48:19.214278Z,1697903299214,1.2351480616852513
1.1756677627563477,0.5728969573974609,-0.1734377145767212,2023-10-21T15:48:19.234605Z,1697903299234,1.3192748966827876
1.2463674545288086,0.6060142517089844,-0.1798783540725708,2023-10-21T15:48:19.254820Z,1697903299254,1.3975125499425325
1.308598518371582,0.6352839469909668,-0.184126615524292,2023-10-21T15:48:19.275057Z,1697903299275,1.4662599994997993
1.359583854675293,0.6591901779174805,-0.1858596801757812,2023-10-21T15:48:19.296308Z,1697903299296,1.5223481104109045
1.3955421447753906,0.6756763458251953,-0.184482455253601,2023-10-21T15:48:19.315683Z,1697903299315,1.5614449008685458
1.4126834869384766,0.6826171875,-0.179415225982666,2023-10-21T15:48:19.335975Z,1697903299335,1.5791867154499097
1.4094810485839844,0.6787991523742676,-0.1705269813537597,2023-10-21T15:48:19.356145Z,1697903299356,1.5736850278728134
1.3872919082641602,0.6642971038818359,-0.1583727598190307,2023-10-21T15:48:19.376322Z,1697903299376,1.546270161392797
1.3481369018554688,0.6397104263305664,-0.1437731981277465,2023-10-21T15:48:19.396630Z,1697903299396,1.4991241670390005
1.292222023010254,0.6051068305969238,-0.1271672248840332,2023-10-21T15:48:19.416983Z,1697903299416,1.432537446726079
1.2177619934082031,0.560065746307373,-0.1086959242820739,2023-10-21T15:48:19.437222Z,1697903299437,1.3447798023215138
1.1248817443847656,0.5053353309631348,-0.0888978242874145,2023-10-21T15:48:19.457473Z,1697903299457,1.2363759779018557
1.0156450271606443,0.4428207874298095,-0.0686750411987304,2023-10-21T15:48:19.479460Z,1697903299479,1.1101087029024455
0.8923912048339844,0.3747427463531494,-0.0491427183151245,2023-10-21T15:48:19.497989Z,1697903299497,0.9691280592226967
0.7562799453735352,0.3030617237091064,-0.0313169956207275,2023-10-21T15:48:19.518308Z,1697903299518,0.8153444170204642
0.60675048828125,0.2295167446136474,-0.016205221414566,2023-10-21T15:48:19.538580Z,1697903299538,0.6489119356959592
0.4417285919189453,0.1557226181030273,-0.0048159509897232,2023-10-21T15:48:19.558747Z,1697903299558,0.46839820248533276
0.259373664855957,0.0839016437530517,0.0015939325094223,2023-10-21T15:48:19.579461Z,1697903299579,0.27261093974035394
0.061767578125,0.0179822444915771,0.001513659954071,2023-10-21T15:48:19.599348Z,1697903299599,0.06434971632291313
-0.1460475921630859,-0.0373258590698242,-0.0064374804496765,2023-10-21T15:48:19.619650Z,1697903299619,0.15087928978648932
-0.3575992584228515,-0.0775716304779052,-0.0230610370635986,2023-10-21T15:48:19.639833Z,1697903299639,0.3666420582939479
-0.5688457489013672,-0.0997428894042968,-0.0485669374465942,2023-10-21T15:48:19.662712Z,1697903299662,0.579562660497393
-0.7778778076171875,-0.1018669605255127,-0.0828046798706054,2023-10-21T15:48:19.680375Z,1697903299680,0.7888772884539788
-0.9817390441894532,-0.0824666023254394,-0.1250910758972168,2023-10-21T15:48:19.700665Z,1697903299700,0.99310627258831
-1.1765060424804688,-0.041118711233139,-0.1739562749862671,2023-10-21T15:48:19.720974Z,1697903299720,1.1900075638472332
-1.355730056762695,0.0213544517755508,-0.226919412612915,2023-10-21T15:48:19.741120Z,1697903299741,1.374755403423098
-1.5136051177978516,0.1023611426353454,-0.2807151079177856,2023-10-21T15:48:19.762682Z,1697903299762,1.542815357701224
-1.6485953330993652,0.1982365250587463,-0.3325778245925903,2023-10-21T15:48:19.781680Z,1697903299781,1.6934498225796695
-1.7647700309753418,0.3064010143280029,-0.3814713954925537,2023-10-21T15:48:19.801984Z,1697903299801,1.831342477361614
-1.8671798706054688,0.4260952472686767,-0.4274238348007202,2023-10-21T15:48:19.822217Z,1697903299822,1.9622968591665644
-1.95550537109375,0.5563015937805176,-0.4697309732437134,2023-10-21T15:48:19.842383Z,1697903299842,2.08665279978336
-2.02512788772583,0.69344162940979,-0.5061697959899902,2023-10-21T15:48:19.862743Z,1697903299862,2.199593625517208
-2.071232318878174,0.8307054042816162,-0.5342451333999634,2023-10-21T15:48:19.883042Z,1697903299883,2.2946661304053984
-2.091772556304932,0.9601473808288574,-0.5523401498794556,2023-10-21T15:48:19.903294Z,1697903299903,2.3669548076361417
-2.086851119995117,1.073991775512695,-0.5594401359558105,2023-10-21T15:48:19.923554Z,1697903299923,2.4127534471246834
-2.0586209297180176,1.165797233581543,-0.5545880794525146,2023-10-21T15:48:19.945891Z,1697903299945,2.4299323570771025
-2.011323928833008,1.230992555618286,-0.5375373363494873,2023-10-21T15:48:19.964106Z,1697903299964,2.418617995189316
-1.9508318901062007,1.2677390575408936,-0.5089669227600098,2023-10-21T15:48:19.984403Z,1697903299984,2.3815865950944968
-1.883321762084961,1.2766666412353516,-0.4701381921768188,2023-10-21T15:48:20.004612Z,1697903300004,2.3233184224572496
-1.8151054382324217,1.2607483863830566,-0.422764778137207,2023-10-21T15:48:20.024790Z,1697903300024,2.250072066246278
-1.7515339851379397,1.224717617034912,-0.3690971136093139,2023-10-21T15:48:20.045835Z,1697903300045,2.1688792547865807
