GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
0.3341667056083679,-0.1709411740303039,0.3099555969238281,2023-10-21T15:56:21.949764Z,1697903781949,0
0.3284465074539184,-0.2246845513582229,0.2700471580028534,2023-10-21T15:56:21.960747Z,1697903781960,1
0.3264510929584503,-0.2861435413360595,0.2269460260868072,2023-10-21T15:56:21.970009Z,1697903781969,2
0.3295107185840606,-0.3546530604362488,0.1822485625743866,2023-10-21T15:56:21.981036Z,1697903781981,3
0.3378915190696716,-0.4260891675949096,0.138748362660408,2023-10-21T15:56:21.992089Z,1697903781992,4
0.3485337495803833,-0.4941995739936828,0.1003032252192497,2023-10-21T15:56:22.001166Z,1697903782001,5
0.3582448065280914,-0.5512686371803284,0.0718352049589157,2023-10-21T15:56:22.010610Z,1697903782010,6
0.3667586147785187,-0.5903789401054382,0.0573351345956325,2023-10-21T15:56:22.021429Z,1697903782021,7
0.3746072649955749,-0.6060762405395508,0.0591975264251232,2023-10-21T15:56:22.030908Z,1697903782030,8
0.381125658750534,-0.596365213394165,0.0780875235795974,2023-10-21T15:56:22.042589Z,1697903782042,9
0.3847174048423767,-0.5633742213249207,0.1105463951826095,2023-10-21T15:56:22.051132Z,1697903782051,10
0.3836531937122345,-0.5125574469566345,0.1517851203680038,2023-10-21T15:56:22.062076Z,1697903782062,11
0.3768687546253204,-0.4501672685146332,0.1970146894454956,2023-10-21T15:56:22.071295Z,1697903782071,12
0.3635659515857696,-0.3812586963176727,0.2437075674533844,2023-10-21T15:56:22.082417Z,1697903782082,13
0.3444098830223083,-0.3102216422557831,0.2909325659275055,2023-10-21T15:56:22.092621Z,1697903782092,14
0.3229923546314239,-0.2405149042606353,0.337492436170578,2023-10-21T15:56:22.102448Z,1697903782102,15
0.3047674894332886,-0.1730696260929107,0.3824559450149536,2023-10-21T15:56:22.111961Z,1697903782111,16
0.2929279804229736,-0.1082849130034446,0.4247588813304901,2023-10-21T15:56:22.126055Z,1697903782126,17
0.2864096164703369,-0.0481561906635761,0.4637361466884613,2023-10-21T15:56:22.132219Z,1697903782132,18
0.2828178405761719,0.0039908443577587,0.4985895156860351,2023-10-21T15:56:22.143319Z,1697903782143,19
0.2798912227153778,0.0456286557018756,0.5277226567268372,2023-10-21T15:56:22.152402Z,1697903782152,20
0.2770976424217224,0.0751609057188034,0.5499383807182312,2023-10-21T15:56:22.163433Z,1697903782163,21
0.2740379869937897,0.0920554846525192,0.5641723871231079,2023-10-21T15:56:22.175770Z,1697903782175,22
0.2720425724983215,0.0961793512105941,0.5694935321807861,2023-10-21T15:56:22.183555Z,1697903782183,23
0.2729737758636474,0.0892618894577026,0.5660347938537598,2023-10-21T15:56:22.192958Z,1697903782192,24
0.2769646048545837,0.0740966796875,0.555525541305542,2023-10-21T15:56:22.203809Z,1697903782203,25
0.2817536294460296,0.0540094301104545,0.540493369102478,2023-10-21T15:56:22.213171Z,1697903782213,26
0.2850793302059173,0.0324588678777217,0.523199737071991,2023-10-21T15:56:22.224223Z,1697903782224,27
0.2850793302059173,0.0126376748085021,0.5053739547729492,2023-10-21T15:56:22.233477Z,1697903782233,28
0.2793591320514679,-0.0023945067077875,0.4894105792045593,2023-10-21T15:56:22.244259Z,1697903782244,29
0.2671205401420593,-0.010376195423305,0.4771719872951507,2023-10-21T15:56:22.253558Z,1697903782253,30
0.2491617351770401,-0.010376195423305,0.4687912166118622,2023-10-21T15:56:22.264497Z,1697903782264,31
0.2273451089859008,-0.0026605629827827,0.4637361466884613,2023-10-21T15:56:22.274035Z,1697903782273,32
0.2012715935707092,0.0117064770311117,0.4616076946258545,2023-10-21T15:56:22.286225Z,1697903782286,33
0.1705420911312103,0.0321928113698959,0.4622728228569031,2023-10-21T15:56:22.294256Z,1697903782294,34
